,d
0,-30405.0
1,-29325.5
2,-27270.5
3,-25179.5
4,-23460.0
5,-22843.5
6,-23243.5
7,-23380.5
8,-24182.5
9,-26618.0
10,-29967.5
11,-32591.5
12,-34545.5
13,-35178.0
14,-35436.5
15,-36062.0
16,-38269.5
17,-39302.5
18,-38255.5
19,-36235.5
20,-34790.0
21,-32747.5
22,-30840.0
23,-28552.0
24,-28553.0
25,-27657.0
26,-26596.0
27,-25305.0
28,-24196.0
29,-24239.0
30,-25926.5
31,-27198.0
32,-29014.5
33,-32225.5
34,-34684.5
35,-35869.5
36,-36477.0
37,-36303.5
38,-36323.5
39,-37587.0
40,-42682.0
41,-45741.5
42,-44660.0
43,-42277.5
44,-39754.5
45,-36917.0
46,-33550.5
47,-30402.0
48,-29738.0
49,-28868.0
50,-27965.5
51,-26891.5
52,-25990.5
53,-26959.0
54,-31703.5
55,-37304.5
56,-40631.5
57,-42865.5
58,-44274.5
59,-45267.0
60,-45806.0
61,-45050.0
62,-44875.5
63,-45192.0
64,-48904.5
65,-51200.0
66,-49946.5
67,-47313.5
68,-44282.0
69,-40658.0
70,-36341.0
71,-32410.0
72,-31745.5
73,-31031.5
74,-30092.5
75,-29123.0
76,-28301.5
77,-29218.5
78,-34236.5
79,-40564.0
80,-43050.5
81,-44490.5
82,-45144.5
83,-45899.5
84,-46402.5
85,-46391.0
86,-46570.5
87,-47312.0
88,-50798.5
89,-51632.0
90,-50660.0
91,-48177.0
92,-45019.5
93,-40952.5
94,-37043.0
95,-33170.5
96,-32618.5
97,-31961.5
98,-30742.0
99,-29496.0
100,-28528.0
101,-29433.0
102,-34423.5
103,-40814.0
104,-43109.0
105,-43976.5
106,-44616.0
107,-44803.0
108,-44800.0
109,-44604.5
110,-44707.0
111,-45050.5
112,-49187.0
113,-50963.5
114,-50096.5
115,-47841.5
116,-44976.0
117,-41311.0
118,-36965.0
119,-33209.5
120,-32725.0
121,-32087.0
122,-31293.5
123,-30360.0
124,-29567.5
125,-30504.5
126,-35576.5
127,-42067.0
128,-44368.5
129,-45617.5
130,-45810.0
131,-45783.0
132,-45607.0
133,-44979.5
134,-44632.0
135,-44868.5
136,-48883.5
137,-50702.5
138,-48835.0
139,-45749.0
140,-42323.5
141,-38672.5
142,-35484.0
143,-32609.5
144,-32104.0
145,-30817.5
146,-29371.0
147,-28072.5
148,-26602.5
149,-26360.0
150,-28177.5
151,-30616.0
152,-33610.5
153,-36759.0
154,-38019.5
155,-38500.5
156,-38595.5
157,-38044.0
158,-37700.0
159,-38142.5
160,-42337.0
161,-45705.0
162,-44572.0
163,-42028.0
164,-39176.0
165,-36388.5
166,-33797.0
167,-31465.0
168,-31191.0
169,-29762.5
170,-28411.5
171,-27136.5
172,-25876.0
173,-25687.5
174,-26729.0
175,-27915.5
176,-30187.5
177,-33889.0
178,-36982.0
179,-38951.5
180,-40189.0
181,-40005.5
182,-39727.0
183,-40327.5
184,-43784.5
185,-45810.0
186,-44501.0
187,-41987.0
188,-40004.0
189,-36747.0
190,-33615.5
191,-30168.0
192,-29927.5
193,-29257.5
194,-28312.0
195,-27298.5
196,-26505.5
197,-27756.5
198,-33603.0
199,-40982.5
200,-43136.0
201,-43951.5
202,-44129.5
203,-44363.5
204,-44507.0
205,-44261.0
206,-44303.5
207,-44631.5
208,-48725.0
209,-51339.0
210,-50108.5
211,-47434.0
212,-44270.0
213,-40644.5
214,-36244.0
215,-32397.0
216,-31661.5
217,-31047.5
218,-29920.5
219,-28952.5
220,-28040.0
221,-29209.5
222,-34737.0
223,-41970.5
224,-43727.5
225,-44243.5
226,-44382.5
227,-44431.0
228,-44524.5
229,-44364.5
230,-44340.0
231,-44873.0
232,-49073.5
233,-51541.5
234,-49813.0
235,-47292.5
236,-44371.5
237,-40525.5
238,-36090.5
239,-32270.0
240,-31609.5
241,-30912.0
242,-29954.5
243,-29009.0
244,-28025.5
245,-29350.5
246,-34868.0
247,-42097.5
248,-43758.0
249,-44171.5
250,-43821.5
251,-44363.5
252,-44056.0
253,-43809.5
254,-43816.0
255,-44463.0
256,-48670.0
257,-50981.5
258,-49398.5
259,-47061.5
260,-43980.5
261,-40206.5
262,-35850.5
263,-31895.0
264,-31292.5
265,-30588.0
266,-29542.0
267,-28486.0
268,-27488.0
269,-28529.0
270,-33949.0
271,-41398.5
272,-43421.0
273,-43638.5
274,-43807.5
275,-44054.0
276,-43974.5
277,-43717.0
278,-43656.0
279,-44163.0
280,-48403.5
281,-51503.5
282,-50513.0
283,-48146.0
284,-45183.0
285,-41618.5
286,-37293.0
287,-33401.5
288,-32834.0
289,-32158.0
290,-31469.5
291,-30318.5
292,-29399.5
293,-30538.5
294,-36100.5
295,-43677.5
296,-45549.0
297,-46057.5
298,-46036.5
299,-45940.0
300,-45497.5
301,-44647.0
302,-44260.0
303,-44385.0
304,-48239.0
305,-51569.5
306,-50434.5
307,-47742.5
308,-44609.0
309,-41388.0
310,-37937.5
311,-34809.5
312,-34204.5
313,-33107.5
314,-31875.0
315,-30919.0
316,-29650.5
317,-29536.5
318,-31529.5
319,-34309.5
320,-37709.0
321,-41395.5
322,-42970.0
323,-43068.5
324,-42315.0
325,-40916.5
326,-40324.5
327,-40472.0
328,-43585.5
329,-47875.5
330,-47076.0
331,-44521.0
332,-41889.5
333,-38881.0
334,-36128.0
335,-33710.5
336,-33355.0
337,-32058.5
338,-30962.5
339,-30103.5
340,-28741.5
341,-28233.0
342,-29131.0
343,-30351.0
344,-32896.0
345,-36873.5
346,-39606.5
347,-40859.0
348,-41518.0
349,-41032.5
350,-40537.5
351,-40887.0
352,-44590.0
353,-48201.5
354,-46939.5
355,-44924.5
356,-42703.0
357,-39707.5
358,-36231.0
359,-32843.0
360,-32471.5
361,-32102.5
362,-31576.0
363,-31103.5
364,-30398.0
365,-31603.0
366,-37656.0
367,-45379.5
368,-47257.0
369,-48541.0
370,-48528.0
371,-48330.0
372,-47966.5
373,-47307.5
374,-47053.5
375,-47254.5
376,-50648.0
377,-53582.5
378,-52938.5
379,-51117.5
380,-47917.0
381,-43955.5
382,-39199.0
383,-34922.5
384,-34448.5
385,-33963.5
386,-33385.5
387,-32884.0
388,-31961.5
389,-32953.5
390,-38941.5
391,-46457.0
392,-48049.5
393,-49188.0
394,-49399.0
395,-49511.5
396,-49300.5
397,-48583.5
398,-48145.0
399,-48102.0
400,-51367.5
401,-53515.5
402,-53097.0
403,-50655.5
404,-47464.0
405,-43325.0
406,-38495.5
407,-34204.0
408,-33487.5
409,-32833.0
410,-32114.5
411,-31185.0
412,-30252.5
413,-31099.5
414,-36609.5
415,-43924.5
416,-45797.0
417,-46489.0
418,-46519.5
419,-46746.5
420,-46695.5
421,-46520.5
422,-46306.0
423,-46520.5
424,-49893.0
425,-52515.5
426,-51372.5
427,-49086.0
428,-45897.0
429,-41871.0
430,-37129.0
431,-33098.0
432,-32484.5
433,-31791.5
434,-30959.0
435,-30163.5
436,-29041.0
437,-29996.0
438,-35660.0
439,-42931.0
440,-44634.5
441,-45384.5
442,-45391.0
443,-45204.0
444,-44926.5
445,-44455.0
446,-44471.5
447,-44769.5
448,-48401.0
449,-51320.5
450,-50294.0
451,-48086.0
452,-44895.0
453,-41125.0
454,-36700.0
455,-32808.0
456,-32334.5
457,-31659.5
458,-30887.5
459,-29826.5
460,-29018.5
461,-30019.5
462,-35493.5
463,-42784.0
464,-45278.5
465,-46035.0
466,-46301.5
467,-46768.0
468,-46990.0
469,-46253.0
470,-45878.0
471,-45899.5
472,-48808.0
473,-50745.0
474,-49574.5
475,-46716.0
476,-43126.0
477,-39529.0
478,-35858.0
479,-32985.5
480,-32459.5
481,-31252.5
482,-29884.5
483,-28649.0
484,-27162.0
485,-26922.0
486,-28889.0
487,-31600.5
488,-35132.0
489,-38303.5
490,-39440.5
491,-39660.5
492,-39824.5
493,-39077.0
494,-38516.0
495,-38500.5
496,-41192.5
497,-45626.0
498,-44741.0
499,-41974.5
500,-39255.5
501,-36314.0
502,-33649.0
503,-31517.5
504,-31305.5
505,-30125.5
506,-28833.5
507,-27795.5
508,-26404.0
509,-26149.0
510,-27001.5
511,-28202.0
512,-30473.0
513,-34232.5
514,-36941.5
515,-38281.5
516,-39079.5
517,-38498.0
518,-37992.5
519,-38556.5
520,-41527.0
521,-45508.5
522,-44918.0
523,-42875.5
524,-40582.5
525,-37708.5
526,-34382.0
527,-30921.0
528,-30694.5
529,-30251.0
530,-29515.0
531,-28714.0
532,-27941.5
533,-29157.5
534,-35019.5
535,-42509.5
536,-44470.0
537,-45279.5
538,-45468.0
539,-45581.0
540,-45545.0
541,-45354.5
542,-45237.5
543,-45298.0
544,-48597.0
545,-52485.5
546,-51371.0
547,-48825.0
548,-45621.0
549,-42018.0
550,-37552.5
551,-33657.5
552,-33279.0
553,-32878.0
554,-32102.0
555,-31269.0
556,-30321.0
557,-31343.0
558,-37122.0
559,-44445.0
560,-46552.5
561,-47660.5
562,-48037.0
563,-48280.0
564,-48231.0
565,-47742.5
566,-47360.0
567,-47037.5
568,-50122.0
569,-52602.0
570,-51297.5
571,-48779.0
572,-45977.5
573,-41986.5
574,-37533.5
575,-33418.0
576,-32662.5
577,-32040.5
578,-30961.0
579,-29786.5
580,-28723.0
581,-29817.5
582,-35349.0
583,-42505.5
584,-44013.5
585,-44499.5
586,-44484.0
587,-44953.0
588,-44848.0
589,-44634.5
590,-44687.5
591,-44917.0
592,-47961.0
593,-50843.0
594,-49671.0
595,-47153.5
596,-44014.5
597,-40376.5
598,-36468.5
599,-32707.0
600,-32401.0
601,-31763.5
602,-30718.0
603,-29736.0
604,-28922.5
605,-30043.0
606,-35677.0
607,-42654.0
608,-44111.5
609,-45194.0
610,-45196.0
611,-45335.5
612,-45197.0
613,-44582.0
614,-44651.5
615,-44916.0
616,-48080.5
617,-51961.5
618,-51133.0
619,-48782.0
620,-45952.5
621,-42194.5
622,-37636.5
623,-33642.5
624,-33158.5
625,-32505.5
626,-31829.5
627,-30819.0
628,-29844.5
629,-30973.0
630,-36592.0
631,-43509.5
632,-45085.5
633,-45992.0
634,-45959.5
635,-45758.5
636,-45614.0
637,-45117.0
638,-44993.5
639,-44680.0
640,-47488.0
641,-51028.0
642,-50107.5
643,-47381.5
644,-44188.5
645,-40795.5
646,-37348.5
647,-34384.0
648,-33951.5
649,-32806.5
650,-31521.5
651,-30549.5
652,-29180.0
653,-29104.5
654,-31121.5
655,-33724.0
656,-37256.5
657,-40646.5
658,-41546.0
659,-41450.5
660,-41341.5
661,-40636.0
662,-40049.0
663,-39891.5
664,-41991.5
665,-47131.0
666,-46821.0
667,-44165.0
668,-41319.5
669,-38512.0
670,-35877.0
671,-33594.0
672,-33419.0
673,-32298.5
674,-31053.0
675,-30165.0
676,-28854.5
677,-28402.5
678,-29199.5
679,-30313.0
680,-32943.5
681,-37121.5
682,-40020.5
683,-41460.0
684,-42432.5
685,-42136.5
686,-41819.5
687,-42265.0
688,-44463.5
689,-47894.0
690,-46901.0
691,-44674.5
692,-42246.5
693,-39330.5
694,-35765.5
695,-32318.0
696,-32165.0
697,-31834.0
698,-31241.5
699,-30693.0
700,-29834.5
701,-31089.0
702,-37106.0
703,-44587.0
704,-46824.5
705,-48428.5
706,-48750.5
707,-49097.5
708,-49040.5
709,-48517.0
710,-48209.0
711,-47998.5
712,-50324.0
713,-53191.0
714,-52694.5
715,-50889.5
716,-47728.0
717,-43785.5
718,-39174.0
719,-34864.0
720,-34463.5
721,-33982.5
722,-33363.0
723,-32627.0
724,-31675.0
725,-32811.0
726,-38496.5
727,-45684.5
728,-47748.5
729,-48954.0
730,-49325.5
731,-49472.5
732,-49682.5
733,-49452.5
734,-49402.0
735,-49189.0
736,-50908.5
737,-53591.5
738,-53501.5
739,-51579.5
740,-48648.0
741,-44734.5
742,-40001.0
743,-35694.5
744,-35209.0
745,-34597.0
746,-33985.0
747,-33329.5
748,-32632.0
749,-33679.5
750,-39336.0
751,-46100.0
752,-47648.5
753,-48836.0
754,-48734.5
755,-48536.0
756,-48342.5
757,-47747.0
758,-47653.5
759,-47765.0
760,-49857.5
761,-53656.0
762,-53583.5
763,-52314.0
764,-49508.5
765,-45359.5
766,-40805.0
767,-36451.5
768,-35985.5
769,-35623.5
770,-35098.5
771,-34454.5
772,-33663.0
773,-34691.5
774,-40082.5
775,-47162.0
776,-48757.0
777,-50022.0
778,-49999.0
779,-49806.5
780,-49597.5
781,-49177.5
782,-49232.0
783,-49325.5
784,-51588.5
