,Z1_1,Z1_2,Z1_3,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
0,-22.71668584625681,-17.725249530050867,-184.19403041862736,-554.3332613240943,-4189.9448223184745,-2441.704934150512,-3158.570440834919,-5521.558011525401,-905.3051392353616,-2025.1175258399944,-1446.483355014899,-343.3065556310735,-463.0617170042372,-59.400671727071455,-1198.8826544788988,-169.12052021131606,-1165.9214640057367,-2545.4864050560354,-3992.166555847049
1,-21.91015197449117,-17.09593175772099,-177.65440023158874,-534.6521971701934,-4041.184900078949,-2355.014571499124,-3046.4284644862487,-5325.520456075913,-873.1631593700572,-1953.2176945903884,-1395.1273681134494,-331.11778974376074,-446.621160401505,-57.29170855886314,-1156.3174900154893,-163.1160603669445,-1124.5265546028688,-2455.111382057911,-3850.428558904543
2,-20.374786428888225,-15.897925252729886,-165.20517370600814,-497.1861602676768,-3757.9967201787854,-2189.9856736310326,-2832.948370557101,-4952.331779421261,-811.9757868613033,-1816.3449264403741,-1297.3630762352834,-307.91453462710706,-415.32394519204246,-53.2769616291104,-1075.2879272806056,-151.68561573500062,-1045.7247585649873,-2283.068146985056,-3580.607731005655
3,-18.81252396861777,-14.678931772468864,-152.53785854056332,-459.0637840325617,-3469.847579462853,-2022.065758574012,-2615.72847936204,-4572.605490912804,-749.7165187757535,-1677.0743871694833,-1197.8861252293257,-284.3047991288477,-383.47845759934853,-49.19188336628172,-992.8388685562056,-140.05492973724165,-965.542493107464,-2108.0110158233333,-3306.060114880801
4,-17.527822724985526,-13.676512217562685,-142.12109697816143,-427.7144650769036,-3232.892798276317,-1883.9795347860888,-2437.101218286045,-4260.343724729021,-698.5186175451926,-1562.5475137709675,-1116.082864944895,-264.88971534632407,-357.29083640583474,-45.83258538783412,-925.0382198347301,-130.49062338949102,-899.6059051331879,-1964.055617912008,-3080.2903272544568
5,-17.067213061304642,-13.317110266065347,-138.38632902048724,-416.4746540061486,-3147.9363443062675,-1834.4708654256613,-2373.0571901073004,-4148.387121732626,-680.1624057925662,-1521.4856833259632,-1086.7535773814452,-257.928738811328,-347.901671842996,-44.628161308908304,-900.7293510142647,-127.06148999990783,-875.9653663218235,-1912.4426473901515,-2999.3440788847906
6,-17.36606766872127,-13.550298880175538,-140.80953613008933,-423.76731325724677,-3203.0581311481487,-1866.5932786359951,-2414.610493061879,-4221.027253441562,-692.0723566458518,-1548.1275846690319,-1105.7831232458084,-262.44518749583483,-353.99358721223444,-45.409620565307854,-916.5015286755562,-129.2863940645198,-891.3039154289537,-1945.9303817109012,-3051.8639480621887
7,-17.46842537176147,-13.630165980508282,-141.63948456512801,-426.2650490507479,-3221.937343141493,-1877.5952051605343,-2428.8424993238227,-4245.906498551871,-696.1515148131018,-1557.2524358790329,-1112.3007427043526,-263.9920711702784,-356.08006822619865,-45.6772703606247,-921.9034995245484,-130.0484237066494,-896.5573684981457,-1957.3999307157587,-3069.8520032554493
8,-18.067628859631817,-14.097709151799213,-146.49801481988015,-440.8868308491996,-3332.4565257594645,-1942.0006436472547,-2512.156871747753,-4391.549962628284,-720.0309662739394,-1610.6694480718854,-1150.4549821624007,-273.0475507827145,-368.29435854152166,-47.24409616970582,-953.5267157354373,-134.50935635619638,-927.3111594579416,-2024.5428380288631,-3175.154340956134
9,-19.88727985053984,-15.517536325962634,-161.25231710846975,-485.2900098643231,-3668.079305392967,-2137.5859870816753,-2765.1645451124436,-4833.837564571061,-792.5476795318813,-1772.885324874493,-1266.3211295440415,-300.5470777105053,-405.3865082459722,-52.00220621710863,-1049.5595624706243,-148.05624097960242,-1020.703750333981,-2228.441280374332,-3494.9346944100225
